Rank,Name,Gross Income,Audience Score,Critics Score,Director,Distributor,Release date
59,Pirates of the Caribbean: At World’s …,"$960,996,492",N/A,N/A,N/A,N/A,N/A
60,The Hobbit: The Desolation of Smaug,"$959,358,436",85%,75%,Peter Jackson,Warner Bros. Pictures,"Dec 13, 2013, "
61,Doctor Strange in the Multiverse of M…,"$952,224,986",N/A,N/A,N/A,N/A,N/A
62,The Jungle Book,"$951,806,722",75%,,Wolfgang Reitherman,N/A,N/A
63,Harry Potter and the Deathly Hallows:…,"$944,062,255",N/A,N/A,N/A,N/A,N/A
64,The Hobbit: The Battle of the Five Ar…,"$940,323,039",N/A,N/A,N/A,N/A,N/A
65,Minions: The Rise of Gru,"$937,427,564",89%,70%,Kyle Balda,Universal Pictures,"Jul 1, 2022, "
66,Harry Potter and the Order of the Pho…,"$937,034,773",N/A,N/A,N/A,N/A,N/A
67,Finding Nemo,"$936,094,852",86%,99%,Andrew Stanton,Walt Disney Pictures,"May 30, 2003, "
68,Shrek 2,"$935,454,538",N/A,N/A,N/A,N/A,N/A
69,Harry Potter and the Half-Blood Prince,"$926,069,091",78%,84%,David Yates,Warner Bros.,"Jul 15, 2009, "
70,Deadpool & Wolverine,"$924,656,382",N/A,N/A,N/A,N/A,N/A
71,The Lord of the Rings: The Two Towers,"$921,715,176",95%,95%,Peter Jackson,New Line Cinema,"Dec 5, 2002, "
72,Chang jin hu,"$909,596,236",N/A,N/A,N/A,N/A,N/A
73,Spider-Man 3,"$895,937,268",N/A,N/A,N/A,N/A,N/A
74,The Lord of the Rings: The Fellowship…,"$894,316,394",N/A,N/A,N/A,N/A,N/A
75,Ice Age: Dawn of the Dinosaurs,"$886,686,817",63%,46%,Carlos Saldanha,20th Century Fox,"Jul 1, 2009, "
76,The Secret Life of Pets,"$886,013,000",62%,70%,Chris Renaud,Universal Pictures,"Jul 8, 2016, "
77,Harry Potter and the Goblet of Fire,"$885,222,986",74%,88%,Mike Newell,Warner Bros. Pictures,"Nov 18, 2005, "
78,Ice Age: Continental Drift,"$879,765,137",61%,37%,"Steve Martino, Mike Thurmeier",20th Century Fox,"Jul 13, 2012, "
79,Bohemian Rhapsody,"$879,088,897",85%,60%,Bryan Singer,20th Century Fox,"Nov 2, 2018, "
80,Spectre,"$879,077,344",44%,,Scott Levy,20th Century Fox,"Nov 2, 2018, "
81,Spider-Man: Homecoming,"$878,651,127",87%,92%,Jon Watts,Sony Pictures Entertainment,"Jul 7, 2017, "
82,Harry Potter and the Chamber of Secrets,"$874,954,228",80%,82%,Chris Columbus,Warner Bros. Pictures,"Nov 15, 2002, "
83,Batman v Superman: Dawn of Justice,"$872,395,091",63%,29%,Zack Snyder,Warner Bros. Pictures,"Mar 25, 2016, "
84,Zhan Lang 2,"$870,325,439",N/A,N/A,N/A,N/A,N/A
85,Guardians of the Galaxy Vol 2,"$869,087,963",N/A,N/A,N/A,N/A,N/A
86,The Hunger Games: Catching Fire,"$864,808,014",89%,90%,Francis Lawrence,Lionsgate Films,"Nov 22, 2013, "
87,Venom,"$856,081,053",,,Michael McAdam,Lionsgate Films,"Nov 22, 2013, "
88,Black Panther: Wakanda Forever,"$853,985,546",94%,84%,Ryan Coogler,Walt Disney Pictures,"Nov 11, 2022, "
89,Thor: Ragnarok,"$850,482,778",87%,93%,Taika Waititi,Walt Disney,"Nov 3, 2017, "
90,Inside Out,"$850,309,035",37%,,David Ogden,Walt Disney,"Nov 3, 2017, "
91,Star Wars Ep. III: Revenge of the Sith,"$848,998,877",N/A,N/A,N/A,N/A,N/A
92,Guardians of the Galaxy Vol 3,"$845,468,744",N/A,N/A,N/A,N/A,N/A
93,"Hi, Mom (你好)","$841,674,419",N/A,N/A,N/A,N/A,N/A
94,Transformers: Revenge of the Fallen,"$836,519,699",57%,20%,Michael Bay,Paramount Pictures,"Jun 24, 2009, "
95,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737",N/A,N/A,N/A,N/A,N/A
96,Inception,"$825,786,894",91%,87%,Christopher Nolan,Warner Bros. Pictures,"Jul 16, 2010, "
97,Spider-Man,"$822,652,858",67%,90%,Sam Raimi,Columbia Pictures,"May 3, 2002, "
98,Wonder Woman,"$817,691,766",78%,85%,Lauren Montgomery,Columbia Pictures,"May 3, 2002, "
99,Independence Day,"$817,400,878",,,Bobby Roth,Columbia Pictures,"Nov 10, 1976, Original"
100,Fantastic Beasts and Where to Find Them,"$811,724,385",79%,74%,David Yates,Warner Bros. Pictures,"Nov 18, 2016, "
101,Shrek the Third,"$807,330,936",52%,42%,Chris Miller,Paramount Pictures,"May 18, 2007, "
102,E.T. the Extra-Terrestrial,"$797,307,407",N/A,N/A,N/A,N/A,N/A
103,Coco,"$796,401,721",15%,,Gad Elmaleh,N/A,N/A
104,Spider-Man 2,"$795,888,127",N/A,N/A,N/A,N/A,N/A
105,Jumanji: The Next Level,"$795,356,912",87%,72%,Jake Kasdan,"Columbia Pictures,, Sony Pictures Entertainment","Dec 13, 2019, "
106,Pirates of the Caribbean: Dead Men Te…,"$794,861,794",N/A,N/A,N/A,N/A,N/A
107,Fast and Furious 6,"$789,300,444",N/A,N/A,N/A,N/A,N/A
108,Indiana Jones and the Kingdom of the …,"$786,635,413",N/A,N/A,N/A,N/A,N/A
109,Mission: Impossible—Fallout,"$786,626,183",88%,97%,Christopher McQuarrie,Paramount Pictures,"Jul 27, 2018, "
110,Deadpool 2,"$786,362,370",N/A,N/A,N/A,N/A,N/A
111,Harry Potter and the Prisoner of Azkaban,"$783,221,274",86%,90%,Alfonso Cuarón,Warner Bros. Pictures,"May 31, 2004, Original"
112,Deadpool,"$781,947,691",90%,85%,Tim Miller,20th Century Fox,"Feb 12, 2016, "
113,Star Wars Ep. IV: A New Hope,"$775,398,007",N/A,N/A,N/A,N/A,N/A
114,Guardians of the Galaxy,"$770,882,395",92%,92%,James Gunn,Walt Disney Pictures,"Aug 1, 2014, "
115,The Da Vinci Code,"$767,820,459",N/A,N/A,N/A,N/A,N/A
116,The Hunger Games: Mockingjay - Part 1,"$766,575,131",N/A,N/A,N/A,N/A,N/A
117,The Batman,"$765,950,479",87%,85%,Matt Reeves,Warner Bros. Pictures,"Mar 4, 2022, "
118,Despicable Me 4,"$762,414,538",N/A,N/A,N/A,N/A,N/A
119,Thor: Love and Thunder,"$760,928,081",76%,63%,Taika Waititi,Walt Disney Pictures,"Jul 8, 2022, "
120,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926",N/A,N/A,N/A,N/A,N/A
121,No Time to Die,"$758,929,771",,,Helmut Ashley,N/A,N/A
122,The Amazing Spider-Man,"$758,576,824",77%,71%,Marc Webb,Sony Pictures Entertainment,"Jul 3, 2012, "
123,Maleficent,"$758,536,735",70%,54%,Robert Stromberg,Walt Disney,"May 30, 2014, "
124,2012,"$757,677,748",N/A,N/A,N/A,N/A,N/A
125,Shrek Forever After,"$756,244,673",54%,57%,Mike Mitchell,"DreamWorks SKG,, Paramount Pictures","May 21, 2010, "
126,X-Men: Days of Future Past,"$747,862,775",91%,90%,Bryan Singer,20th Century Fox,"May 23, 2014, "
127,Madagascar 3: Europe's Most Wanted,"$746,921,271",N/A,N/A,N/A,N/A,N/A
128,Suicide Squad,"$745,744,980",50%,,Brian Desmond Hurst,N/A,N/A
129,Monsters University,"$743,455,810",81%,80%,Dan Scanlon,Walt Disney,"Jun 21, 2013, "
130,Ne Zha (哪吒之魔童降世),"$742,718,496",N/A,N/A,N/A,N/A,N/A
131,The Matrix Reloaded,"$738,576,929",72%,73%,"Lilly Wachowski, Lana Wachowski",Warner Bros. Pictures,"May 15, 2003, "
132,Up,"$731,463,377",90%,98%,"Pete Docter, Bob Peterson","Pixar Animation Studios,, Walt Disney","May 29, 2009, "
133,"The Chronicles of Narnia: The Lion, t…","$720,539,572",N/A,N/A,N/A,N/A,N/A
134,F9: The Fast Saga,"$719,360,068",N/A,N/A,N/A,N/A,N/A
135,Fast X,"$714,567,285",84%,56%,Louis Leterrier,Universal Pictures,"May 19, 2023, "
136,Captain America: The Winter Soldier,"$714,401,889",92%,90%,"Anthony Russo, Joe Russo",Walt Disney Pictures,"Apr 4, 2014, "
137,Dawn of the Planet of the Apes,"$710,644,566",88%,91%,Matt Reeves,20th Century Fox,"Jul 11, 2014, "
138,Dune: Part Two,"$710,020,114",95%,92%,Denis Villeneuve,Warner Bros. Pictures,"Mar 1, 2024, "
139,The Amazing Spider-Man 2,"$709,672,746",N/A,N/A,N/A,N/A,N/A
140,Transformers,"$708,272,592",N/A,N/A,N/A,N/A,N/A
141,The Twilight Saga: Eclipse,"$706,102,828",60%,46%,David Slade,Summit Entertainment,"Jun 30, 2010, "
142,It,"$701,012,746",,,Sergei Ovcharov,Summit Entertainment,"Jun 30, 2010, "
143,Mission: Impossible—Ghost Protocol,"$694,713,230",76%,93%,Brad Bird,Paramount Pictures,"Dec 21, 2011, "
144,Mission: Impossible—Rogue Nation,"$688,858,992",87%,94%,Christopher McQuarrie,Paramount Pictures,"Jul 31, 2015, "
145,The Twilight Saga: New Moon,"$687,557,727",61%,28%,Chris Weitz,Summit Entertainment,"Nov 20, 2009, "
146,Moana,"$687,228,908",65%,87%,Robert J. Flaherty,Paramount Pictures,"Jan 7, 1926, Original"
147,Gravity,"$684,657,731",29%,,Peter J. Eaton,Paramount Pictures,"Jan 7, 1926, Original"
148,"The Twilight Saga: Breaking Dawn, Part 1","$684,436,752",N/A,N/A,N/A,N/A,N/A
149,Spider-Man: Across the Spider-Verse,"$681,222,435",94%,95%,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",Sony Pictures,"Jun 2, 2023, "
150,Forrest Gump,"$679,835,137",95%,76%,Robert Zemeckis,Paramount Pictures,"Jul 6, 1994, "
151,The Hunger Games,"$677,923,379",81%,84%,Gary Ross,Lionsgate Films,"Mar 23, 2012, "
152,Doctor Strange,"$676,343,174",N/A,N/A,N/A,N/A,N/A
153,The Sixth Sense,"$672,806,292",N/A,N/A,N/A,N/A,N/A
154,Man of Steel,"$667,999,518",,,Ken Anderson,N/A,"Mar 25, 1967, Limited"
155,Kung Fu Panda 2,"$664,837,547",N/A,N/A,N/A,N/A,N/A
156,Star Wars Ep. II: Attack of the Clones,"$656,695,615",N/A,N/A,N/A,N/A,N/A
157,Justice League,"$655,945,209",N/A,N/A,N/A,N/A,N/A
158,Pirates of the Caribbean: The Curse o…,"$654,310,819",N/A,N/A,N/A,N/A,N/A
159,Men in Black 3,"$654,213,485",N/A,N/A,N/A,N/A,N/A
160,The Martian,"$653,609,107",91%,91%,Ridley Scott,20th Century Fox,"Oct 2, 2015, "
161,The Wandering Earth (流浪地球),"$652,251,170",N/A,N/A,N/A,N/A,N/A
162,Ice Age: The Meltdown,"$651,899,282",N/A,N/A,N/A,N/A,N/A
163,Fantastic Beasts: The Crimes of Grind…,"$648,455,339",N/A,N/A,N/A,N/A,N/A
164,Big Hero 6,"$647,263,005",N/A,N/A,N/A,N/A,N/A
165,Interstellar,"$647,040,051",86%,73%,Christopher Nolan,Paramount Pictures,"Nov 7, 2014, "
166,The Hunger Games: Mockingjay - Part 2,"$646,219,954",N/A,N/A,N/A,N/A,N/A
167,Thor: The Dark World,"$644,602,516",75%,67%,Alan Taylor,Walt Disney,"Nov 8, 2013, "
168,Full River Red (满江红),"$634,631,282",N/A,N/A,N/A,N/A,N/A
169,Kung Fu Panda,"$631,910,531",83%,87%,"John Stevenson, Mark Osborne",DreamWorks SKG,"Jun 6, 2008, "
170,The Incredibles,"$631,441,092",75%,97%,Brad Bird,Walt Disney Pictures,"Nov 5, 2004, "
171,Sing,"$631,064,182",88%,43%,Richard Baskin,Walt Disney Pictures,"Mar 31, 1989, Limited"
172,Fast Five,"$629,975,898",83%,78%,Justin Lin,Universal Pictures,"Apr 29, 2011, "
173,Wonka,"$629,037,798",91%,82%,Paul King,Warner Bros. Pictures,"Dec 15, 2023, "
174,Ratatouille,"$626,549,695",87%,96%,Brad Bird,Buena Vista,"Jun 29, 2007, "
175,Tang Ren Jie Tan An 3,"$625,136,211",N/A,N/A,N/A,N/A,N/A
176,Hancock,"$624,234,272",59%,42%,Peter Berg,Sony Pictures Entertainment,"Jul 2, 2008, "
177,Ant-Man and the Wasp,"$623,144,660",79%,87%,Peyton Reed,Walt Disney,"Jul 6, 2018, "
178,The Passion of the Christ,"$622,313,635",N/A,N/A,N/A,N/A,N/A
179,Iron Man 2,"$621,156,389",N/A,N/A,N/A,N/A,N/A
180,Life of Pi,"$619,310,368",84%,86%,Ang Lee,20th Century Fox,"Nov 21, 2012, "
181,The Lost World: Jurassic Park,"$618,638,999",N/A,N/A,N/A,N/A,N/A
182,How to Train Your Dragon 2,"$614,586,270",N/A,N/A,N/A,N/A,N/A
183,Logan,"$614,202,315",N/A,N/A,N/A,N/A,N/A
184,War of the Worlds,"$606,836,535",42%,76%,Steven Spielberg,Paramount Pictures,"Jun 29, 2005, "
185,Chang Jin Hu Zhi Shui Men Qiao (长津湖之水…,"$602,986,104",N/A,N/A,N/A,N/A,N/A
186,Transformers: The Last Knight,"$602,893,340",43%,16%,Michael Bay,Paramount Pictures,"Jun 21, 2017, "
