Rank,Name,Gross Income,Audience Score,Critics Score,Director,Distributor,Release date
263,Saving Private Ryan,"$485,035,085",95%,94%,Steven Spielberg,"Paramount Pictures,, DreamWorks SKG","Jul 24, 1998, "
264,Teenage Mutant Ninja Turtles,"$485,004,754",60%,36%,Kevin Munroe,Warner Bros.,"Mar 23, 2007, "
265,Elemental,"$484,829,737",60%,100%,"Gayatri Roshan, Emmanuel Vaughan-Lee",Warner Bros.,"Mar 23, 2007, "
266,Les Intouchables,"$484,630,908",N/A,N/A,N/A,N/A,N/A
267,Bruce Almighty,"$484,468,608",57%,48%,Tom Shadyac,Universal Pictures,"May 23, 2003, "
268,Jaws,"$483,655,893",90%,97%,Steven Spielberg,"Universal Pictures,, DiscoVision","Jun 20, 1975, "
269,Troy,"$483,152,040",73%,53%,Wolfgang Petersen,Warner Bros. Pictures,"May 13, 2004, "
270,Star Wars Ep. VI: Return of the Jedi,"$482,365,284",N/A,N/A,N/A,N/A,N/A
271,YOLO (热辣滚烫),"$479,597,304",N/A,N/A,N/A,N/A,N/A
272,Home Alone,"$476,680,641",80%,66%,Chris Columbus,20th Century Fox,"Nov 16, 1990, "
273,Charlie and the Chocolate Factory,"$475,825,484",51%,83%,Tim Burton,Warner Bros. Pictures,"Jul 15, 2005, "
274,Hotel Transylvania 2,"$474,800,000",N/A,N/A,N/A,N/A,N/A
275,Wo he wo de zu guo,"$474,488,019",N/A,N/A,N/A,N/A,N/A
276,Indiana Jones and the Last Crusade,"$474,171,806",94%,84%,Steven Spielberg,Paramount Pictures,"May 24, 1989, "
277,Ba bai,"$472,648,086",N/A,N/A,N/A,N/A,N/A
278,Rise of the Planet of the Apes,"$470,986,200",77%,82%,Rupert Wyatt,20th Century Fox,"Aug 5, 2011, "
279,The Lego Movie,"$467,576,428",87%,96%,"Phil Lord, Christopher Miller",Warner Bros. Pictures,"Feb 7, 2014, "
280,It: Chapter Two,"$467,561,586",78%,62%,Andy Muschietti,Warner Bros. Pictures,"Sep 6, 2019, "
281,Star Trek Into Darkness,"$467,381,584",89%,84%,J.J. Abrams,Paramount Pictures,"May 16, 2013, "
282,Pegasus 2 (飞驰人生2),"$466,930,272",N/A,N/A,N/A,N/A,N/A
283,The Matrix,"$465,974,198",85%,83%,"Lilly Wachowski, Lana Wachowski",Warner Bros. Pictures,"Mar 31, 1999, "
284,The Hangover,"$465,487,583",84%,79%,Todd Phillips,Warner Bros.,"Jun 5, 2009, "
285,Bumblebee,"$464,731,819",75%,90%,Travis Knight,Paramount Pictures,"Dec 21, 2018, "
286,Ant-Man and the Wasp: Quantumania,"$463,635,303",82%,46%,Peyton Reed,Walt Disney Pictures,"Feb 17, 2023, "
287,Cars,"$461,630,558",80%,75%,"John Lasseter, Joe Ranft",Walt Disney Pictures,"Jun 9, 2006, "
288,Du Xing Yue Qiu (独行月球),"$460,303,199",N/A,N/A,N/A,N/A,N/A
289,X-Men: The Last Stand,"$459,260,946",61%,57%,Brett Ratner,20th Century Fox,"May 26, 2006, "
290,Mission: Impossible,"$457,697,994",71%,65%,Brian De Palma,Paramount Pictures,"May 22, 1996, Original"
291,Lucy,"$457,507,776",14%,,Henner Winckler,Paramount Pictures,"May 22, 1996, Original"
292,National Treasure: Book of Secrets,"$457,325,804",67%,36%,Jon Turteltaub,Buena Vista,"Dec 21, 2007, "
293,The Last Samurai,"$456,810,575",N/A,N/A,N/A,N/A,N/A
294,San Andreas,"$456,258,539",52%,49%,Brad Peyton,Warner Bros. Pictures,"May 29, 2015, "
295,300,"$454,161,935",N/A,N/A,N/A,N/A,N/A
296,Gladiator,"$451,683,599",87%,80%,Ridley Scott,"Universal Pictures,, DreamWorks SKG","May 5, 2000, "
297,Wo Bi Shi Yao Shen,"$451,183,392",N/A,N/A,N/A,N/A,N/A
298,Ocean's Eleven,"$450,728,529",N/A,N/A,N/A,N/A,N/A
299,Django Unchained,"$449,841,566",92%,87%,Quentin Tarantino,Weinstein Co.,"Dec 25, 2012, "
300,Godzilla vs. Kong,"$449,450,112",N/A,N/A,N/A,N/A,N/A
301,Thor,"$449,326,618",76%,77%,Kenneth Branagh,Paramount Pictures,"May 6, 2011, "
302,Pearl Harbor,"$449,239,853",N/A,N/A,N/A,N/A,N/A
303,Tarzan,"$448,191,819",75%,89%,"Chris Buck, Kevin Lima",American International Pictures,"Jun 18, 1999, "
304,The Secret Life of Pets 2,"$446,449,908",N/A,N/A,N/A,N/A,N/A
305,The Bourne Ultimatum,"$444,043,396",N/A,N/A,N/A,N/A,N/A
306,Alvin and the Chipmunks: The Squeakquel,"$443,483,213",N/A,N/A,N/A,N/A,N/A
307,Men in Black 2,"$441,767,803",N/A,N/A,N/A,N/A,N/A
308,Mrs. Doubtfire,"$441,286,003",N/A,N/A,N/A,N/A,N/A
309,John Wick: Chapter 4,"$440,320,578",N/A,N/A,N/A,N/A,N/A
310,Transformers: Rise of the Beasts,"$439,241,749",91%,52%,Steven Caple Jr.,Paramount Pictures,"Jun 9, 2023, "
311,Warcraft,"$438,899,824",76%,29%,Duncan Jones,Universal Pictures,"Jun 10, 2016, "
312,Beauty and the Beast,"$438,656,843",,,Diane Eskenazi,Universal Pictures,"Jun 10, 2016, "
313,Les Misérables,"$435,292,452",N/A,N/A,N/A,N/A,N/A
314,The Mummy Returns,"$435,040,395",N/A,N/A,N/A,N/A,N/A
315,La La Land,"$433,850,071",81%,91%,Damien Chazelle,Lionsgate Films,"Dec 25, 2016, "
316,Aquaman and the Lost Kingdom,"$433,845,564",81%,33%,James Wan,Warner Bros. Pictures,"Dec 22, 2023, "
317,Wo He Wo De Jia Xiang,"$433,241,288",N/A,N/A,N/A,N/A,N/A
318,Zhongguo jizhang,"$433,168,672",,,Andrew Lau Wai-Keung,N/A,N/A
319,Terminator 3: Rise of the Machines,"$433,058,296",N/A,N/A,N/A,N/A,N/A
320,Pretty Woman,"$432,566,361",68%,65%,Garry Marshall,Buena Vista Pictures,"Mar 23, 1990, Original"
321,Shang-Chi and the Legend of the Ten R…,"$432,224,634",N/A,N/A,N/A,N/A,N/A
322,Terminator: Genisys,"$432,150,894",52%,26%,Alan Taylor,Paramount Pictures,"Jul 1, 2015, "
323,Die Another Day,"$431,942,139",41%,55%,Lee Tamahori,"20th Century Fox Italia,, UGC-Fox Distribution,, Gativideo,, 20th Century Fox,, Metro-Goldwyn-Mayer,, 20th Century Fox of Germany","Nov 22, 2002, "
324,A Star is Born,"$431,674,156",80%,90%,Bradley Cooper,Warner Bros. Pictures,"Oct 5, 2018, "
325,The King’s Speech,"$430,061,213",N/A,N/A,N/A,N/A,N/A
326,Dune,"$429,941,853",N/A,N/A,N/A,N/A,N/A
327,Pokémon: Detective Pikachu,"$428,919,826",N/A,N/A,N/A,N/A,N/A
328,The Greatest Showman,"$428,875,907",86%,57%,Michael Gracey,20th Century Fox,"Dec 20, 2017, "
329,The Exorcist,"$428,824,083",87%,78%,William Friedkin,Warner Bros. Pictures,"Dec 26, 1973, Original"
330,Rampage,"$427,947,217",,,Steve Savage,Warner Bros. Pictures,"Dec 26, 1973, Original"
331,The Matrix Revolutions,"$427,300,260",60%,34%,"Lilly Wachowski, Lana Wachowski",Warner Bros. Pictures,"Nov 5, 2003, "
332,Cast Away,"$427,230,516",84%,89%,Robert Zemeckis,DreamWorks SKG,"Dec 22, 2000, "
333,Bad Boys For Life,"$424,471,663",96%,75%,"Adil El Arbi, Bilall Fallah","Columbia Pictures,, Sony Pictures Entertainment","Jan 17, 2020, "
334,Dances with Wolves,"$424,208,805",87%,87%,Kevin Costner,"Image Entertainment Inc.,, Orion Pictures,, MGM/UA Home Entertainment Inc.","Nov 21, 1990, "
335,The Chronicles of Narnia: The Voyage …,"$418,186,950",N/A,N/A,N/A,N/A,N/A
336,The Mummy,"$418,138,535",75%,62%,Stephen Sommers,Universal Pictures,"May 7, 1999, "
337,The Chronicles of Narnia: Prince Caspian,"$417,341,288",N/A,N/A,N/A,N/A,N/A
338,The Wolverine,"$416,456,852",N/A,N/A,N/A,N/A,N/A
339,Jason Bourne,"$416,168,316",55%,54%,Paul Greengrass,Universal Pictures,"Jul 29, 2016, "
340,Sex and the City,"$415,247,258",77%,50%,Michael Patrick King,Warner Bros.,"May 30, 2008, "
341,Rain Man,"$412,800,000",90%,88%,Barry Levinson,"MGM/UA Home Entertainment Inc.,, United Artists","Dec 14, 1988, "
342,Batman,"$411,348,924",N/A,N/A,N/A,N/A,N/A
343,The Bodyguard,"$411,006,740",,,Ali Khamraev,N/A,N/A
344,Pacific Rim,"$411,002,906",N/A,N/A,N/A,N/A,N/A
345,The Mummy,"$409,953,905",75%,62%,Stephen Sommers,Universal Pictures,"May 7, 1999, "
346,Kingsman: The Golden Circle,"$408,803,696",64%,50%,Matthew Vaughn,20th Century Fox,"Sep 22, 2017, "
347,Signs,"$408,250,578",67%,75%,M. Night Shyamalan,Touchstone Pictures,"Aug 2, 2002, "
348,X-Men 2,"$406,348,630",N/A,N/A,N/A,N/A,N/A
349,The Mummy: Tomb of the Dragon Emperor,"$405,760,225",N/A,N/A,N/A,N/A,N/A
350,Sonic the Hedgehog 2,"$405,154,426",N/A,N/A,N/A,N/A,N/A
351,Kingsman: The Secret Service,"$404,561,724",84%,75%,Matthew Vaughn,20th Century Fox,"Feb 13, 2015, "
352,Fantastic Beasts: The Secrets of Dumb…,"$404,560,145",N/A,N/A,N/A,N/A,N/A
353,Sing 2,"$404,534,588",N/A,N/A,N/A,N/A,N/A
354,Prometheus,"$402,448,265",,,Tony Harrison,N/A,N/A
355,Twilight,"$402,278,564",72%,49%,Catherine Hardwicke,Summit Entertainment,"Nov 21, 2008, "
356,Night at the Museum: Battle of the Sm…,"$402,231,063",N/A,N/A,N/A,N/A,N/A
357,Ice Age: Collision Course,"$402,156,682",39%,18%,Mike Thurmeier,20th Century Fox,"Jul 22, 2016, "
358,Alita: Battle Angel,"$401,900,040",91%,61%,Robert Rodriguez,20th Century Fox,"Feb 14, 2019, "
359,Eternals,"$401,731,759",77%,47%,Chloé Zhao,Walt Disney,"Nov 5, 2021, "
360,Snow White and the Huntsman,"$401,021,746",52%,49%,Rupert Sanders,Universal Pictures,"Jun 1, 2012, "
361,Uncharted,"$400,689,914",17%,,Frank Nunez,Universal Pictures,"Jun 1, 2012, "
362,Tron: Legacy,"$399,866,199",N/A,N/A,N/A,N/A,N/A
363,Mission: Impossible III,"$399,387,745",N/A,N/A,N/A,N/A,N/A
364,Bad Boys: Ride or Die,"$398,454,005",97%,65%,"Adil El Arbi, Bilall Fallah",Columbia Pictures,"Jun 7, 2024, "
365,Kingdom of the Planet of the Apes,"$396,347,310",78%,80%,Wes Ball,20th Century Studios,"May 10, 2024, "
366,Meg 2: The Trench,"$394,299,160",N/A,N/A,N/A,N/A,N/A
367,Mamma Mia: Here We Go Again!,"$393,439,007",N/A,N/A,N/A,N/A,N/A
368,Solo: A Star Wars Story,"$393,151,347",63%,69%,Ron Howard,Walt Disney,"May 25, 2018, "
369,Ji Su Shi Ke (这个杀手不太冷静),"$393,014,816",N/A,N/A,N/A,N/A,N/A
370,Superman Returns,"$391,081,192",60%,74%,Bryan Singer,Warner Bros. Pictures,"Jun 28, 2006, "
371,Gone with the Wind,"$390,516,513",92%,90%,Victor Fleming,Metro-Goldwyn-Mayer,"Dec 15, 1939, "
372,Robin Hood: Prince of Thieves,"$390,500,000",72%,51%,Kevin Reynolds,Warner Bros. Pictures,"Jun 14, 1991, "
373,Black Adam,"$390,455,088",88%,39%,Jaume Collet-Serra,Warner Bros. Pictures,"Oct 21, 2022, "
374,The Wolf of Wall Street,"$389,816,136",,63%,Rowland V. Lee,Warner Bros. Pictures,"Oct 21, 2022, "
375,1917,"$389,140,440",N/A,N/A,N/A,N/A,N/A
376,Back to the Future,"$388,386,822",95%,93%,Robert Zemeckis,Universal Pictures,"Jul 3, 1985, Original"
377,Grease,"$387,472,317",87%,66%,Randal Kleiser,Paramount Pictures,"Jul 7, 1978, "
378,Star Trek,"$386,839,614",91%,94%,J.J. Abrams,Paramount Pictures,"May 7, 2009, "
379,Ice Age,"$386,116,343",82%,77%,Chris Wedge,20th Century Fox,"Mar 15, 2002, "
380,Home,"$385,997,896",,,Efrain Flores,20th Century Fox,"Mar 15, 2002, "
381,Happy Feet,"$385,000,315",70%,76%,George Miller,Warner Bros. Pictures,"Nov 17, 2006, "
382,Independence Day: Resurgence,"$384,169,424",30%,29%,Roland Emmerich,20th Century Fox,"Jun 24, 2016, "
383,Indiana Jones and the Dial of Destiny,"$383,963,057",88%,70%,James Mangold,Walt Disney Pictures,"Jun 30, 2023, "
384,Spirited Away (千と千尋の神隠し),"$383,947,619",N/A,N/A,N/A,N/A,N/A
385,Slumdog Millionaire,"$383,825,427",90%,91%,Danny Boyle,Fox,"Jan 23, 2009, "
386,Cars 3,"$383,541,369",N/A,N/A,N/A,N/A,N/A
387,Godzilla: King of the Monsters,"$383,299,914",73%,84%,"Terry Morse, Ishirô Honda",N/A,"Apr 27, 1956, Limited"
388,Live Free or Die Hard,"$382,288,147",86%,82%,Len Wiseman,20th Century Fox,"Jun 27, 2007, "
389,Monsters vs. Aliens,"$381,687,380",N/A,N/A,N/A,N/A,N/A
390,Fifty Shades Darker,"$381,367,046",48%,11%,James Foley,Universal Pictures,"Feb 10, 2017, "
391,Black Widow,"$379,751,131",,,Christian Lee,Universal Pictures,"Feb 10, 2017, "
392,Hotel Transylvania,"$378,119,469",72%,44%,Genndy Tartakovsky,Sony Pictures Entertainment,"Sep 28, 2012, "
393,Taken 2,"$377,807,404",N/A,N/A,N/A,N/A,N/A
394,Once Upon a Time…in Hollywood,"$377,426,903",70%,86%,Quentin Tarantino,"Sony Pictures Entertainment,, Columbia Pictures","Jul 26, 2019, "
395,Godzilla,"$376,000,000",28%,20%,Roland Emmerich,Columbia Pictures,"May 19, 1998, "
396,G.I. Joe: Retaliation,"$375,740,705",N/A,N/A,N/A,N/A,N/A
397,Spider-Man: Into The Spider-Verse 3D,"$375,464,627",N/A,N/A,N/A,N/A,N/A
398,My Big Fat Greek Wedding,"$374,890,034",73%,76%,Joel Zwick,IFC Films,"Apr 19, 2002, Original"
399,X-Men Origins: Wolverine,"$374,825,760",N/A,N/A,N/A,N/A,N/A
400,Successor (抓娃娃),"$374,561,698",N/A,N/A,N/A,N/A,N/A
401,What Women Want,"$374,105,123",54%,54%,Nancy Meyers,Paramount Pictures,"Dec 15, 2000, "
402,The Adventures of Tintin,"$373,993,951",74%,75%,Steven Spielberg,Paramount Pictures,"Dec 21, 2011, "
403,Fifty Shades Freed,"$371,985,018",38%,11%,James Foley,Universal Pictures,"Feb 9, 2018, "
404,Shark Tale,"$371,741,123",48%,35%,"Rob Letterman, Bibo Bergeron, Vicky Jenson",DreamWorks SKG,"Oct 1, 2004, "
405,Captain America: The First Avenger,"$370,569,776",75%,80%,Joe Johnston,Paramount Pictures,"Jul 22, 2011, "
406,There's Something About Mary,"$369,884,651",N/A,N/A,N/A,N/A,N/A
407,Creation of the Gods I: Kindom of Sto…,"$369,081,777",N/A,N/A,N/A,N/A,N/A
408,Mad Max: Fury Road,"$368,297,521",86%,97%,George Miller,Warner Bros. Pictures,"May 15, 2015, "
409,Raiders of the Lost Ark,"$367,451,914",96%,93%,Steven Spielberg,Paramount Pictures,"Jun 12, 1981, "
410,The Golden Compass,"$367,262,558",51%,42%,Chris Weitz,New Line Cinema,"Dec 7, 2007, "
411,Gone Girl,"$367,128,535",87%,88%,David Fincher,20th Century Fox,"Oct 3, 2014, "
412,Edge of Tomorrow,"$367,028,980",90%,91%,Doug Liman,Warner Bros. Pictures,"Jun 6, 2014, "
413,Xi Hong Shi Shou Fu,"$366,961,920",N/A,N/A,N/A,N/A,N/A
414,Penguins of Madagascar,"$366,942,531",63%,74%,"Eric Darnell, Simon J. Smith",20th Century Fox,"Nov 26, 2014, "
415,Hitch,"$366,784,257",62%,69%,Andy Tennant,Sony Pictures Entertainment,"Feb 11, 2005, "
416,Die Hard: With a Vengeance,"$366,101,666",83%,59%,John McTiernan,"Fox,, 20th Century Fox","May 19, 1995, Original"
417,Jurassic Park III,"$365,900,000",37%,49%,Joe Johnston,Universal Pictures,"Jul 18, 2001, "
418,Terminator Salvation,"$365,491,792",53%,33%,McG,Warner Bros.,"May 21, 2009, "
419,True Lies,"$365,300,000",76%,70%,James Cameron,"Argentina Video Home,, 20th Century Fox","Jul 15, 1994, "
420,Toy Story,"$365,270,951",92%,100%,John Lasseter,"Buena Vista Pictures,, Warner Home Vídeo","Nov 22, 1995, Original"
421,Notting Hill,"$363,718,196",79%,84%,Roger Michell,"MCA/Universal Pictures [us],, Polygram","May 28, 1999, "
422,Shazam!,"$363,563,907",N/A,N/A,N/A,N/A,N/A
423,A Bug’s Life,"$363,095,319",N/A,N/A,N/A,N/A,N/A
424,Ocean's Twelve,"$362,989,076",N/A,N/A,N/A,N/A,N/A
425,The Nun,"$362,900,037",20%,,Luis de la Madrid,N/A,N/A
426,Alvin and the Chipmunks,"$362,605,033",57%,,Tim Hill,20th Century Fox,"Dec 14, 2007, "
427,Planet of the Apes,"$362,211,740",N/A,N/A,N/A,N/A,N/A
428,The Hangover 3,"$362,000,072",N/A,N/A,N/A,N/A,N/A
429,The World is Not Enough,"$361,730,660",N/A,N/A,N/A,N/A,N/A
430,Zhuo yao ji 2,"$361,683,815",N/A,N/A,N/A,N/A,N/A
431,Tenet,"$359,518,466",76%,69%,Christopher Nolan,Warner Bros. Pictures,"Sep 3, 2020, "
432,Fast & Furious,"$359,347,833",N/A,N/A,N/A,N/A,N/A
433,Home Alone 2: Lost in New York,"$358,994,850",N/A,N/A,N/A,N/A,N/A
434,Kimi no na wa,"$358,954,042",N/A,N/A,N/A,N/A,N/A
435,Minority Report,"$358,824,714",80%,89%,Steven Spielberg,20th Century Fox,"Jun 21, 2002, "
436,The Flintstones,"$358,500,000",25%,23%,Brian Levant,"Argentina Video Home,, Universal Pictures","May 27, 1994, "
437,Peter Rabbit,"$358,117,307",56%,64%,Will Gluck,Sony Pictures Entertainment,"Feb 9, 2018, "
438,Top Gun,"$357,463,748",83%,58%,Tony Scott,Paramount Pictures,"May 16, 1986, Original"
439,Batman Begins,"$356,770,593",94%,85%,Christopher Nolan,Warner Bros. Pictures,"Jun 15, 2005, "
440,Goldeneye,"$356,429,933",83%,80%,Martin Campbell,United Artists,"Nov 17, 1995, "
441,American Beauty,"$356,258,047",93%,87%,Sam Mendes,DreamWorks SKG,"Oct 1, 1999, "
442,Dinosaur,"$356,148,063",,,"Eric Leighton, Ralph Zondag",DreamWorks SKG,"Oct 1, 1999, "
443,Catch Me if You Can,"$355,612,291",89%,96%,Steven Spielberg,DreamWorks SKG,"Dec 25, 2002, "
444,X-Men: First Class,"$355,408,305",87%,86%,Matthew Vaughn,20th Century Fox,"Jun 3, 2011, "
445,Night at the Museum: Secret of the Tomb,"$353,756,621",57%,48%,Shawn Levy,20th Century Fox,"Dec 19, 2014, "
446,The Fugitive,"$353,715,317",,,D.W. Griffith,20th Century Fox,"Dec 19, 2014, "
447,The Great Gatsby,"$353,497,733",,52%,Herbert Brenon,20th Century Fox,"Dec 19, 2014, "
448,Dumbo,"$353,166,307",70%,95%,Ben Sharpsteen,RKO Radio Pictures,"Oct 23, 1941, Original"
449,Noah,"$352,831,065",41%,75%,Darren Aronofsky,Paramount Pictures,"Mar 28, 2014, "
450,Basic Instinct,"$352,699,997",64%,55%,Paul Verhoeven,"Live Entertainment,, Live Video,, Pioneer Entertainment,, Columbia Tristar","Mar 20, 1992, Original"
451,The Angry Birds Movie,"$352,288,341",47%,44%,"Clay Kaytis, Fergal Reilly",Sony Pictures Entertainment,"May 20, 2016, "
452,The Karate Kid,"$351,774,938",N/A,N/A,N/A,N/A,N/A
453,Murder on the Orient Express,"$351,767,147",78%,90%,Sidney Lumet,Paramount Pictures,"Nov 24, 1974, Original"
454,The Mask,"$351,620,129",,67%,Julian Roffman,Paramount Pictures,"Nov 24, 1974, Original"
455,Who Framed Roger Rabbit?,"$351,500,000",N/A,N/A,N/A,N/A,N/A
456,Dr. Seuss’ The Lorax,"$351,097,803",N/A,N/A,N/A,N/A,N/A
457,Hannibal,"$350,100,280",,,Edward Bazalgette,N/A,N/A
458,Deep Impact,"$349,464,664",43%,45%,Mimi Leder,Paramount Pictures,"May 8, 1998, "
459,Alvin and the Chipmunks: Chipwrecked,"$349,088,523",51%,10%,Mike Mitchell,20th Century Fox,"Dec 16, 2011, "
460,The Legend of Tarzan,"$348,902,025",58%,35%,David Yates,Warner Bros. Pictures,"Jul 1, 2016, "
461,"I, Robot","$348,629,585",N/A,N/A,N/A,N/A,N/A
462,The Smurfs 2,"$348,547,523",N/A,N/A,N/A,N/A,N/A
463,The Maze Runner,"$348,319,861",68%,65%,Wes Ball,20th Century Fox,"Sep 19, 2014, "
464,Rush Hour 2,"$347,425,832",N/A,N/A,N/A,N/A,N/A
465,Pocahontas,"$347,100,000",,,"Mike Gabriel, Eric Goldberg",N/A,N/A
466,How the Grinch Stole Christmas,"$347,036,128",58%,49%,Ron Howard,Universal Pictures,"Nov 17, 2000, "
467,Mary Poppins Returns,"$345,606,500",64%,79%,Rob Marshall,Walt Disney,"Dec 19, 2018, "
468,xXx: Return of Xander Cage,"$345,033,359",37%,45%,D.J. Caruso,Paramount Pictures,"Jan 20, 2017, "
469,The Hunger Games: The Ballad of Songb…,"$344,519,495",N/A,N/A,N/A,N/A,N/A
470,Over the Hedge,"$343,397,247",71%,75%,"Tim Johnson, Karey Kirkpatrick",DreamWorks SKG,"May 19, 2006, "
471,Trolls,"$342,831,709",67%,76%,"Mike Mitchell, Walt Dohrn",20th Century Fox,"Nov 4, 2016, "
472,Now You See Me,"$342,769,200",70%,50%,Louis Leterrier,Lionsgate Films,"May 31, 2013, "
473,Wanted,"$342,416,460",,,Jordon Foss,Lionsgate Films,"Apr 20, 2015, Limited"
474,Zhuo yao ji,"$340,969,819",N/A,N/A,N/A,N/A,N/A
475,Close Encounters of the Third Kind,"$340,800,479",85%,90%,Steven Spielberg,Columbia Pictures,"Nov 16, 1977, "
476,Enchanted,"$340,384,141",80%,93%,Kevin Lima,Buena Vista,"Nov 21, 2007, "
477,Tomorrow Never Dies,"$339,504,276",53%,57%,Roger Spottiswoode,United Artists,"Dec 19, 1997, "
478,Article 20 (第二十条),"$337,554,287",N/A,N/A,N/A,N/A,N/A
479,Batman Forever,"$336,529,144",32%,41%,Joel Schumacher,"Warner Bros.,, Warner Home Vídeo","Jun 16, 1995, Original"
480,Prince of Persia: Sands of Time,"$336,359,676",58%,36%,Mike Newell,Walt Disney,"May 28, 2010, "
481,The Rock,"$336,069,511",,,Pia Justine Cruz,Walt Disney,"May 28, 2010, "
482,Apollo 13,"$335,802,271",N/A,N/A,N/A,N/A,N/A
483,Star Trek Beyond,"$335,673,708",80%,86%,Justin Lin,Paramount Pictures,"Jul 22, 2016, "
484,A Quiet Place,"$334,876,670",83%,96%,John Krasinski,Paramount Pictures,"Apr 6, 2018, "
485,Never Say Die,"$334,536,622",,,Geoff Murphy,Paramount Pictures,"Apr 6, 2018, "
486,The Great Wall,"$334,486,852",,,Shigeo Tanaka,Paramount Pictures,"Apr 6, 2018, "
487,The Good Dinosaur,"$333,771,037",64%,75%,Peter Sohn,Walt Disney,"Nov 25, 2015, "
488,Fantastic Four,"$333,132,750",45%,28%,Tim Story,20th Century Fox,"Jul 8, 2005, "
489,Indiana Jones and the Temple of Doom,"$333,080,271",82%,77%,Steven Spielberg,Paramount Pictures,"May 23, 1984, "
490,Back to the Future Part II,"$331,971,868",N/A,N/A,N/A,N/A,N/A
491,22 Jump Street,"$331,333,876",N/A,N/A,N/A,N/A,N/A
492,National Treasure,"$331,323,410",76%,46%,Jon Turteltaub,Buena Vista Pictures,"Nov 19, 2004, "
493,Black Swan,"$331,266,710",73%,83%,Henry King,20th Century Fox,"Dec 4, 1942, Original"
494,300: Rise of an Empire,"$330,780,051",N/A,N/A,N/A,N/A,N/A
495,Meet the Parents,"$330,425,040",79%,85%,Jay Roach,"DreamWorks SKG,, Universal Pictures","Oct 6, 2000, "
496,The Curious Case of Benjamin Button,"$329,631,958",N/A,N/A,N/A,N/A,N/A
497,The Perfect Storm,"$328,711,434",63%,46%,Wolfgang Petersen,"Warner Bros. Pictures,, Warner Home Vídeo","Jun 30, 2000, "
498,Now You See Me 2,"$328,325,007",N/A,N/A,N/A,N/A,N/A
499,Crocodile Dundee,"$328,203,506",59%,89%,Peter Faiman,Paramount Pictures,"Sep 26, 1986, "
500,Se7en,"$328,125,643",N/A,N/A,N/A,N/A,N/A
